WB        HSG       FY        MWDA      MWDB      GD  YDDJ
天tian1   天tian1   天tian1   □         天tian1   --  天tian1
下xia4    下xia4    下xia4    □         下xia4    --  下xia4
皆jie1    皆jie1    皆jie1    □         □         --  皆jie1
謂wei4    謂wei4    謂wei4    □         胃wei4    --  謂wei4
我wo3     我wo3     吾wu2     □         我wo3     --  我wo3
道dao4    道dao4    --        --        --        --  --
大da4     大da4     大da4     □         大da4     --  大da4
--        --        --        □         大da4     --  大da4
似si4     似si4     似si4     □         而er2     --  而er2
不bu4     不bu4     不bu4     --        不bu4     --  不bu4
肖xiao4   肖xiao4   肖xiao4   --        肖xiao4   --  肖xiao4
夫fu2     夫fu2     夫fu2     夫fu2     夫fu2     --  夫fu2
唯wei2    唯wei2    惟wei2    唯wei2    唯wei2    --  唯wei2
大da4     大da4     大da4     □         不bu4     --  不bu4
--        --        --        --        肖xiao4   --  肖xiao4
故gu4     故gu4     故gu4     故gu4     故gu4     --  故gu4
似si4     似si4     似si4     --        --        --  --
不bu4     不bu4     不bu4     不bu4     能neng2   --  能neng2
肖xiao4   肖xiao4   肖xiao4   肖xiao4   大da4     --  大da4
--        --        --        &lt;      --        --  --
若ruo4    若ruo4    若ruo4    若ruo4    若ruo4    --  若ruo4
肖xiao4   肖xiao4   肖xiao4   肖xiao4   肖xiao4   --  肖xiao4
--        --        --        &lt;      --        --  --
久jiu3    久jiu3    久jiu3    --        久jiu3    --  久jiu3
矣yi3     矣yi3     矣yi3     --        矣yi3     --  矣yi3
其qi2     其qi2     其qi2     --        亓qi2     --  其qi2
細xi4     細xi4     細xi4     細xi4     細xi4     --  細xi4
--        --        --        久jiu3    --        --  --
也ye3     也ye3     也ye3     矣yi3     也ye3     --  也ye3
夫fu2     夫fu2     夫fu2     --        夫fu2     --  夫fu2
我wo3     我wo3     吾wu2     我wo3     我wo3     --  我wo3
--        --        --        恆heng2   恆heng2   --  恆heng2
有you3    有you3    有you3    有you3    有you3    --  有you3
三san1    三san1    三san1    三san1    三san1    --  三san1
寶bao3    寶bao3    寶bao3    葆bao3    葆bao3    --  葆bao3
持chi2    持chi2    持chi2    --        市shi4    --  持chi2
而er2     而er2     而er2     --        而er2     --  而er2
保bao3    保bao3    寶bao3    --        保bao3    --  葆bao3
之zhi1    之zhi1    之zhi1    之zhi1    之zhi1    --  之zhi1
--        --        --        &lt;      --        --  --
一yi1     一yi1     一yi1     一yi1     一yi1     --  一yi1
曰yue1    曰yue1    曰yue1    曰yue1    曰yue1    --  曰yue1
慈ci2     慈ci2     慈ci2     慈ci2     慈ci2     --  慈ci2
--        --        --        --        &lt;      --  --
二er4     二er4     二er4     二er4     二er4     --  二er4
曰yue1    曰yue1    曰yue1    曰yue1    曰yue1    --  曰yue1
儉jian3   儉jian3   儉jian3   儉jian3   儉jian3   --  儉jian3
三san1    三san1    三san1    □         三san1    --  三san1
曰yue1    曰yue1    曰yue1    □         曰yue1    --  曰yue1
不bu4     不bu4     不bu4     □         不bu4     --  不bu4
敢gan3    敢gan3    敢gan3    □         敢gan3    --  敢gan3
為wei2    為wei2    為wei2    □         為wei2    --  為wei2
天tian1   天tian1   天tian1   □         天tian1   --  天tian1
下xia4    下xia4    下xia4    □         下xia4    --  下xia4
先xian1   先xian1   先xian1   □         先xian1   --  先xian1
--        --        夫fu2     □         夫fu2     --  夫fu2
